contract_number,client_account,S3_full_path,file_name,doc_type,S3_vectors,OpenSearch
79867,"11.2 Healthcare, Inc.",s3://ml-legal-restricted/contract-docs/79867/11.2Healthcare_Edifecs Consulting Services Agreement_05142021_fully executed.pdf,11.2Healthcare_Edifecs Consulting Services Agreement_05142021_fully executed.pdf,Consulting Agreement,True,--
74914,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/74914/1199SEIU National Benefit Fund for Health - Cotiviti - Work Order - TE - 08022024 - Dynamics_74914.pdf,1199SEIU National Benefit Fund for Health - Cotiviti - Work Order - TE - 08022024 - Dynamics_74914.pdf,Work Order / Change Request,True,--
74914,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/74914/Dynamics_-_74914_signed.pdf,Dynamics_-_74914_signed.pdf,Work Order / Change Request,True,--
72908,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72908/Dynamics_72908_signed.pdf,Dynamics_72908_signed.pdf,Work Order / Change Request,True,--
72908,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72908/NBFHHSE - Cotiviti - WO 1 TO SOW 2 - MS - 12112023 - Dynamics_72908.pdf,NBFHHSE - Cotiviti - WO 1 TO SOW 2 - MS - 12112023 - Dynamics_72908.pdf,Work Order / Change Request,True,--
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 - Standard CCV SOW 12-7-22.docx,1199 - Standard CCV SOW 12-7-22.docx,SOW,True,--
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 CCV SOW redline 3-17-23.docx,1199 CCV SOW redline 3-17-23.docx,SOW,True,--
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 CCV SOW redline 4-5-23.docx,1199 CCV SOW redline 4-5-23.docx,SOW,True,--
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 CCV SOW redline 7-21-23.docx,1199 CCV SOW redline 7-21-23.docx,SOW,True,--
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 SEIU National Benefits Funds - Cotiviti - SOW2 - JK - 10102023 - Dynamics_70428.pdf,1199 SEIU National Benefits Funds - Cotiviti - SOW2 - JK - 10102023 - Dynamics_70428.pdf,SOW,True,--
