contract_number,s3_full_path,account_name,doc_type,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,parent_contract,solution_line,account_type,sharepoint_document_url,document_title,related_product,matched_client,matched_pattern,file_name
75275,s3://ml-legal-restricted/contract-docs/75275/SFHP - Cotiviti - SOW 2 - DM - 06022025 - Dynamics_75275.pdf,San Francisco Health Plan,SOW,Fully-Executed/Complete,San Franciso Health Plan,Michael Cicciu,Drew Mattern,2024-07-30 17:48:31,2025-10-01,75927,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/75275/SFHP - Cotiviti - SOW 2 - DM - 06022025 - Dynamics_75275.pdf,Attachment A-2 Statement of Work #2 For Risk Adjustment,Medicare Adv. Coding,,,SFHP - Cotiviti - SOW 2 - DM - 06022025 - Dynamics_75275.pdf
80282,s3://ml-legal-restricted/contract-docs/80282/UPMC - Cotiviti - Termination - AM - 07032025 - Dynamics_80282.docx,UPMC Health Plan,Termination,Fully-Executed/Complete,Eliza Redetermination - Termination,Patrick Murphy,Angelica Miranda,2025-06-09 16:45:41,2025-09-20,65900,Population Health Management,Client,https://cotiviti.sharepoint.com/:w:/r/sites/crmdocs/_layouts/15/Doc.aspx?sourcedoc=%7BAF1C55FB-03C5-4D61-B3F6-F8CCD914189F%7D&file=UPMC%20-%20Cotiviti%20-%20Termination%20-%20AM%20-%2007032025%20-%20Dynamics_80282.docx&action=view&mobileredirect=true,TERMINATION SUMMARY,Eliza Standard,UPMC,\bupmc\b,UPMC - Cotiviti - Termination - AM - 07032025 - Dynamics_80282.docx
75311,s3://ml-legal-restricted/contract-docs/75311/CenCal - Cotiviti - SOW - DM - 09302024 - Dynamics_75311.pdf,CenCal Health,SOW,Fully-Executed/Complete,CenCal RA SOW,Billy Richey,Drew Mattern,2024-08-01 21:05:39,2025-08-01,75090,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/75311/CenCal - Cotiviti - SOW - DM - 09302024 - Dynamics_75311.pdf,STATEMENT OF WORK FOR RISK ADJUSTMENT SERVICES,Medicare Adv. Coding,,,CenCal - Cotiviti - SOW - DM - 09302024 - Dynamics_75311.pdf
81023,s3://ml-legal-restricted/contract-docs/81023/Well Care Health Plans - Cotiviti - Termination Summary - AM - 07032025 - Dynamics_81023.docx,Centene Corporation,Termination,Fully-Executed/Complete,WCPDPLIS- TERM Notice,Ashminee Dewdat,Angelica Miranda,2025-07-02 16:22:57,2025-07-18,67976,Population Health Management,Client,https://cotiviti.sharepoint.com/:w:/r/sites/crmdocs/_layouts/15/Doc.aspx?sourcedoc=%7BF91D00C0-324C-410F-A4E6-FD7BD2EEC5B6%7D&file=Well%20Care%20Health%20Plans%20-%20Cotiviti%20-%20Termination%20Summary%20-%20AM%20-%2007032025%20-%20Dynamics_81023.docx&action=view&mobileredirect=true,TERMINATION SUMMARY,Eliza Standard,Centene,\bcentene\b,Well Care Health Plans - Cotiviti - Termination Summary - AM - 07032025 - Dynamics_81023.docx
80699,s3://ml-legal-restricted/contract-docs/80699/Humana - Cotiviti - AMD 013 - JK - 06302025 - Dynamics_80699.pdf,Humana,Amendment,Fully-Executed/Complete,Humana - DCI - One Month Extension (July 2025),Matt Collins,Jeffrey Koslowski,2025-06-23 14:15:21,2025-06-30,8017,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80699/Humana - Cotiviti - AMD 013 - JK - 06302025 - Dynamics_80699.pdf,Amendment 013 To Schedule 004 to the Master Services Agreement Dental Claim Accuracy Services,Dental Claims Accuracy,Humana,\bhumana\b,Humana - Cotiviti - AMD 013 - JK - 06302025 - Dynamics_80699.pdf
79836,s3://ml-legal-restricted/contract-docs/79836/SCFHP - Cotiviti - Letter - DM - 06252025 - Dynamics_79836.pdf,Santa Clara Family Health Plan,Letter,Fully-Executed/Complete,SCFHP_Termination 90 day extension,Robin Tucker,Drew Mattern,2025-05-29 20:32:06,2025-06-30,24176,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79836/SCFHP - Cotiviti - Letter - DM - 06252025 - Dynamics_79836.pdf,"Extension of Risk Adjustment Statement of Work dated June 30, 2016",Medicare Adv. Coding,,,SCFHP - Cotiviti - Letter - DM - 06252025 - Dynamics_79836.pdf
78644,s3://ml-legal-restricted/contract-docs/78644/Elevance - Cotiviti - Expiration Reveiw - BR - Dynamics_78644.docx,"Anthem, Inc (WellPoint, Inc.)",Termination,Fully-Executed/Complete,Wellpoint - Informant Future Termination Review,Angie Sirani,Brian Riley,2025-03-12 14:12:04,2025-06-26,53607,Payment Accuracy,Client,https://cotiviti.sharepoint.com/:w:/r/sites/crmdocs/_layouts/15/Doc.aspx?sourcedoc=%7B51F555B7-216A-4F3A-93A6-D6390617136D%7D&file=Elevance%20-%20Cotiviti%20-%20Expiration%20Reveiw%20-%20BR%20-%20Dynamics_78644.docx&action=view&mobileredirect=true,TERMINATION SUMMARY – Client Name,Informant,Anthem/Elevance,\b(anthem|elevance)\b,Elevance - Cotiviti - Expiration Reveiw - BR - Dynamics_78644.docx
80642,s3://ml-legal-restricted/contract-docs/80642/UHCS - Cotiviti -  CO 5 to SOW 248 - AM - 06252025 - Dynamics_80642.pdf,United HealthCare Services,Work Order / Change Request,Fully-Executed/Complete,United - CO 5 to SOW 248 - UHSAARP DM Update Cover Letter,Laura Owen,Angelica Miranda,2025-06-20 14:14:43,2025-06-25,66380,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80642/UHCS - Cotiviti -  CO 5 to SOW 248 - AM - 06252025 - Dynamics_80642.pdf,ELIZA® SERVICES CHANGE ORDER FORM,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,UHCS - Cotiviti -  CO 5 to SOW 248 - AM - 06252025 - Dynamics_80642.pdf
78796,s3://ml-legal-restricted/contract-docs/78796/UHC - Cotiviti - CO 3 to SOW 285 - AM - 06242025 - Dynamics_78796.pdf,United HealthCare Services,Work Order / Change Request,Fully-Executed/Complete,United - CO 3 to SOW 285 - Medicaid Redetermination NE Updates,Laura Owen,Angelica Miranda,2025-03-31 18:13:23,2025-06-24,71141,Population Health Management,Client,https://file:///C:/Users/harshitha.debbadi/Downloads/UHC - Cotiviti - CO 3 to SOW 285 - AM - 06242025 - Dynamics_78796.pdf,ELIZA® SERVICES CHANGE ORDER FORM Cotiviti Internal Contract Repository/Reference # 78796,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,UHC - Cotiviti - CO 3 to SOW 285 - AM - 06242025 - Dynamics_78796.pdf
79758,s3://ml-legal-restricted/contract-docs/79758/United - CO 4 to SOW 199 - SDOH Service Names - Fully Executed 6-23-2025.pdf,United HealthCare Services,Work Order / Change Request,Fully-Executed/Complete,United - CO 4 to SOW 199 - UHSSDOH - New Service Name,Laura Owen,Timothy Ellebracht,2025-05-28 16:45:40,2025-06-23,65786,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79758/United - CO 4 to SOW 199 - SDOH Service Names - Fully Executed 6-23-2025.pdf,Eliza Services Change Order Form,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,United - CO 4 to SOW 199 - SDOH Service Names - Fully Executed 6-23-2025.pdf
75526,s3://ml-legal-restricted/contract-docs/75526/United HealthCare Services - Cotiviti - SOW - JK - 06182025 - Dynamics_75526.pdf,United HealthCare Services,SOW,Fully-Executed/Complete,PPM SOW for OA,Nishan Khoshafian,Jeffrey Koslowski,2024-08-28 14:14:31,2025-06-18,65699,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/75526/United HealthCare Services - Cotiviti - SOW - JK - 06182025 - Dynamics_75526.pdf,STATEMENT OF WORK FOR OPPORTUNITY ANALYSIS,Core Edits,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,United HealthCare Services - Cotiviti - SOW - JK - 06182025 - Dynamics_75526.pdf
80304,s3://ml-legal-restricted/contract-docs/80304/Centene - Cotiviti - Attestation - JK - 06162025 - Dynamics_80304.pdf,Centene Corporation,Attestation,Fully-Executed/Complete,Attestation - Payt. Integrity Office Authority to Implement & RCA required documentation,Jill Feick,Jeffrey Koslowski,2025-06-10 11:55:23,2025-06-16,7962,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80304/Centene - Cotiviti - Attestation - JK - 06162025 - Dynamics_80304.pdf,Centene Corporation Payment Integrity Office Attestation,Payment Policy Management,Centene,\bcentene\b,Centene - Cotiviti - Attestation - JK - 06162025 - Dynamics_80304.pdf
80005,s3://ml-legal-restricted/contract-docs/80005/BCBST - Cotiviti - Attestation - JK - 06102025 - Dynamics_80005.pdf,Blue Cross Blue Shield of Tennessee,Attestation,Fully-Executed/Complete,2025 Offshore Attestation,Joshua Houston,Jeffrey Koslowski,2025-06-03 15:20:33,2025-06-10,73763,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80005/BCBST - Cotiviti - Attestation - JK - 06102025 - Dynamics_80005.pdf,OFFSHORE DATA ATTESTATION,Payment Policy Management,BCBSTN,\b(blue\s*cross\s*blue\s*shield\s*of\s*tennessee|bcbstn)\b,BCBST - Cotiviti - Attestation - JK - 06102025 - Dynamics_80005.pdf
80027,s3://ml-legal-restricted/contract-docs/80027/Aetna - Cotiviti - SOD - DM - 06042025 - Dynamics_80027.pdf,Aetna Life Insurance Company,Statement of Destruction,Fully-Executed/Complete,Aetna Errant Data Statement of Destruction,Angie Sirani,Drew Mattern,2025-06-03 20:34:28,2025-06-04,71603,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80027/Aetna - Cotiviti - SOD - DM - 06042025 - Dynamics_80027.pdf,Aetna Errant Data Statement of Destruction,Medicare Adv. Coding,Aetna,\baetna\b,Aetna - Cotiviti - SOD - DM - 06042025 - Dynamics_80027.pdf
