contract_number,account_name,s3_full_path,file_name,doc_type,s3_vectors,opensearch,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,account_type,parent_contract,solution_line,sharepoint_document_url,related_product,document_title
74914,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/74914/1199SEIU National Benefit Fund for Health - Cotiviti - Work Order - TE - 08022024 - Dynamics_74914.pdf,1199SEIU National Benefit Fund for Health - Cotiviti - Work Order - TE - 08022024 - Dynamics_74914.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,Work order to add pharmacy carrier CVS,Moira Hubbard,Timothy Ellebracht,2024-06-05,2024-08-02,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/74914/1199SEIU National Benefit Fund for Health - Cotiviti - Work Order - TE - 08022024 - Dynamics_74914.pdf,Medical Intelligence,Work Order
72908,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72908/NBFHHSE - Cotiviti - WO 1 TO SOW 2 - MS - 12112023 - Dynamics_72908.pdf,NBFHHSE - Cotiviti - WO 1 TO SOW 2 - MS - 12112023 - Dynamics_72908.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,Integration Services Work Order,Mike McFadden,Melissa Syracuse,2023-09-12,2023-12-11,Client,70428.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/72908/NBFHHSE - Cotiviti - WO 1 TO SOW 2 - MS - 12112023 - Dynamics_72908.pdf,Retrospective Clinical Chart Validation,WORK ORDER #1 TO STATEMENT OF WORK #2
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/1199 SEIU National Benefits Funds - Cotiviti - SOW2 - JK - 10102023 - Dynamics_70428.pdf,1199 SEIU National Benefits Funds - Cotiviti - SOW2 - JK - 10102023 - Dynamics_70428.pdf,SOW,True,--,Fully-Executed/Complete,CCV SOW,Mike McFadden,Jeffrey Koslowski,2022-12-02,2023-10-10,Client,15630.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/70428/1199 SEIU National Benefits Funds - Cotiviti - SOW2 - JK - 10102023 - Dynamics_70428.pdf,Prospective Clinical Chart Validation,Statement of Work #2 For Clinical Chart Validation Services
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/1199SEIU National Benefit Funds - Cotiviti - Security Addendum Exhibit - JK - 07242023 - Dynamics_71254.pdf,1199SEIU National Benefit Funds - Cotiviti - Security Addendum Exhibit - JK - 07242023 - Dynamics_71254.pdf,Security Addendum/Exhibit,True,--,Fully-Executed/Complete,Data Security Agreement,Mike McFadden,Jeffrey Koslowski,2023-03-02,2023-07-24,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/71254/1199SEIU National Benefit Funds - Cotiviti - Security Addendum Exhibit - JK - 07242023 - Dynamics_71254.pdf,Retrospective Clinical Chart Validation,DATA SECURITY AGREEMENT
71747,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71747/SEIU National Benefit Fund - Cotiviti - Amd 03 to SOW A2 - TE - 05312023 -  Dynamics_71747.pdf,SEIU National Benefit Fund - Cotiviti - Amd 03 to SOW A2 - TE - 05312023 -  Dynamics_71747.pdf,Amendment,True,--,Fully-Executed/Complete,1199 Amendment #3 to PI SOW,Moira Hubbard,Timothy Ellebracht,2023-04-19,2023-05-31,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/71747/SEIU National Benefit Fund - Cotiviti - Amd 03 to SOW A2 - TE - 05312023 -  Dynamics_71747.pdf,Medical Intelligence,Amendment No. 3 to the Statement of Work A-2 for Provider Intelligence Application Services
72005,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72005/SEIU - Cotiviti - Amendment 01 - MS - 08292023 - Dynamics_72005.pdf,SEIU - Cotiviti - Amendment 01 - MS - 08292023 - Dynamics_72005.pdf,Amendment,True,--,Fully-Executed/Complete,Amendment #1 to MSA,Mike McFadden,Melissa Syracuse,2023-05-17,2023-05-01,Client,15630.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/72005/SEIU - Cotiviti - Amendment 01 - MS - 08292023 - Dynamics_72005.pdf,Retrospective Clinical Chart Validation,"FIRST AMENDMENT TO THE MASTER SERVICES AGREEMENT BETWEEN COTIVITI, INC. AND 1199SEIU NATIONAL BENEFIT FUND FOR HEALTH AND HUMAN SERVICE EMPLOYEES, 1199SEIU GREATER NEW YORK BENEFIT FUND, AND 1199SEIU NATIONAL BENEFIT FUND FOR HOME CARE EMPLOYEES"
71818,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71818/1199SEIU National Benefit Fund - Cotiviti - AMD2 - TE - 01052023 - Dynamics_71818.pdf,1199SEIU National Benefit Fund - Cotiviti - AMD2 - TE - 01052023 - Dynamics_71818.pdf,Amendment,True,--,Fully-Executed/Complete,1199 PI 30-day term extension,Moira Hubbard,Timothy Ellebracht,2023-04-27,2023-05-01,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/71818/1199SEIU National Benefit Fund - Cotiviti - AMD2 - TE - 01052023 - Dynamics_71818.pdf,Medical Intelligence,Amendment No. 2 to the Statement of Work A-2 for Provider Intelligence Application Services
70657,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70657/1199SEIU NBF - Cotiviti - WO - TE - 02012023 - Dynamics_70657.pdf,1199SEIU NBF - Cotiviti - WO - TE - 02012023 - Dynamics_70657.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,Work order for pharmacy UDF,Moira Hubbard,Timothy Ellebracht,2022-12-22,2023-02-01,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/70657/1199SEIU NBF - Cotiviti - WO - TE - 02012023 - Dynamics_70657.pdf,Medical Intelligence,Work Order For Additional Pharmacy User Defined Field
61241,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61241/1199 SEIU National Benefit Funds - Cotiviti - Work Order - AS - 10052021 - Dynamics_61241.pdf,1199 SEIU National Benefit Funds - Cotiviti - Work Order - AS - 10052021 - Dynamics_61241.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,1199 Work Order 3,Gina Groff,Adam Speer,2021-02-10,2021-10-05,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/61241/1199 SEIU National Benefit Funds - Cotiviti - Work Order - AS - 10052021 - Dynamics_61241.pdf,Medical Intelligence,Work Order For Additional Data Processing
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/1199SEIU National Benefit Fund - Cotiviti - Amendment 3 - JK - 06302021 - Dynamics_61772.pdf,1199SEIU National Benefit Fund - Cotiviti - Amendment 3 - JK - 06302021 - Dynamics_61772.pdf,Amendment,True,--,Fully-Executed/Complete,AMD#3 STARS Renewal 2021 - 5 Year Term,Sue Murray,Jeffrey Koslowski,2021-04-22,2021-06-29,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/61772/1199SEIU National Benefit Fund - Cotiviti - Amendment 3 - JK - 06302021 - Dynamics_61772.pdf,STARSSolution,Amendment No. 03 to Master Software License Agreement
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/1199SIU - Cotiviti - work order - DS - 06032020 - Dynamics_59036_.pdf,1199SIU - Cotiviti - work order - DS - 06032020 - Dynamics_59036_.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,1199 - Work Order #2 - Standard Extracts,Jay Dupras,ihtech Simko,2020-03-23,2020-06-03,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/59036/1199SIU - Cotiviti - work order - DS - 06032020 - Dynamics_59036_.pdf,Provider Intelligence,Work Order
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/1199 - Cotiviti - amnd1 - DS - 04132020 - DYnamics 58457.pdf,1199 - Cotiviti - amnd1 - DS - 04132020 - DYnamics 58457.pdf,Amendment,True,--,Fully-Executed/Complete,1199 Amendment #1 to PI SOW,Jay Dupras,ihtech Simko,2020-01-03,2020-04-13,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/58475/1199 - Cotiviti - amnd1 - DS - 04132020 - DYnamics 58457.pdf,Provider Intelligence,Amendment No. 01 to Statement of Work A-2 for Provider Intelligence Application Services
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/1199 - Cotiviti - wo extract - DS - 01242020- Dynamics_58332.pdf,1199 - Cotiviti - wo extract - DS - 01242020- Dynamics_58332.pdf,Work Order / Change Request,True,--,Fully-Executed/Complete,Work Order for Custom Hedis Extract,Jay Dupras,ihtech Simko,2019-12-12,2020-01-24,Client,21849.0,Performance Analytics,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/58332/1199 - Cotiviti - wo extract - DS - 01242020- Dynamics_58332.pdf,Medical Intelligence,Work Order
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910.pdf,1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910.pdf,Amendment,True,--,Fully-Executed/Complete,1199 SEIU- Amend 2 to MSA 3 (#52376)- STARS,Jerry Monahan,Sarah Lowdon,2018-07-13,2018-10-05,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/52910/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910.pdf,STARSSolution,Amendment No. 02 to Master Software License Agreement
53796,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/53796/GDIT Contract Cancellation Letter 2 for McSource.PDF,GDIT Contract Cancellation Letter 2 for McSource.PDF,Termination,True,--,Fully-Executed/Complete,MCSource Cancellation Notice,Jerry Monahan,Jonathan Whitson,2018-09-13,2018-09-17,Client,,Quality Improvement,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/53796/GDIT Contract Cancellation Letter 2 for McSource.PDF,Record Import/Clean Up,By Certified Mail
54646,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/54646/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910 (2).pdf,1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910 (2).pdf,Amendment,True,--,Fully-Executed/Complete,1199 SEIU- SOW 2 to MSA 3 (#52376)- STARS,Dynamics SVC,Brooke Eckstrom,2019-01-29,2018-08-01,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/54646/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910 (2).pdf,STARSSolution,Amendment No. 2 to Master Software License Agreement
52533,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52533/1199 - SOW - SSOL.pdf,1199 - SOW - SSOL.pdf,SOW,True,--,Fully-Executed/Complete,1199 SEIU- SOW 1 to MSA 3 (#52376)- STARS,Dynamics SVC,Ellen Darby,2018-06-15,2018-01-01,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/52533/1199 - SOW - SSOL.pdf,STARSSolution,MSLA STARSSolution Suite Exhibits
52376,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52376/1199 MSLA-SSOL - 12-22-17.pdf,1199 MSLA-SSOL - 12-22-17.pdf,MSA,True,--,Fully-Executed/Complete,1199 SEIU- MSA 3- Payment Accuracy,Dynamics SVC,Ellen Darby,2018-06-01,2018-01-01,Client,,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/52376/1199 MSLA-SSOL - 12-22-17.pdf,STARSSolution,Master Software License Agreement
